pid,group,matrix_name,together,opposed,pull
198,Human,FAVvsMJP,4.5,2,-2.5
198,Human,MDvsMIP/MJP,5.5,2.5,-3
198,Human,FAVvsP,5.5,7.5,2
199,Human,FAVvsMJP,0,12,12
199,Human,MDvsMIP/MJP,0,0,0
199,Human,FAVvsP,0,12,12
200,Human,FAVvsMJP,0,12,12
200,Human,MDvsMIP/MJP,3,6,3
200,Human,FAVvsP,0,12,12
201,Human,FAVvsMJP,5,6,1
201,Human,MDvsMIP/MJP,1.5,5,3.5
201,Human,FAVvsP,7.5,6,-1.5
202,Human,FAVvsMJP,6,8.5,2.5
202,Human,MDvsMIP/MJP,4,9,5
202,Human,FAVvsP,4.5,12,7.5
203,Human,FAVvsMJP,5,7,2
203,Human,MDvsMIP/MJP,1.5,6.5,5
203,Human,FAVvsP,0,3.5,3.5
204,Human,FAVvsMJP,0.5,7.5,7
204,Human,MDvsMIP/MJP,2.5,5.5,3
204,Human,FAVvsP,3,11,8
